Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Phenotype,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,sex,SRA Study,strain,tissue,isolation_source,cell_line,LoadedStatus
SRR31189877,ATAC-seq,200,9783330200,PRJNA960830,SAMN44528393,Model organism or animal,3377094469,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571403,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Lo4_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:28:00Z,1,KPC-1_Lo4,biological replicate 4,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189878,RNA-Seq,300,14335013700,PRJNA960830,SAMN44528401,Model organism or animal,4661818613,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571402,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Lo3_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:26:00Z,1,KPC-2_Lo3,biological replicate 3,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Loaded
SRR31189879,RNA-Seq,300,15393038700,PRJNA960830,SAMN44528400,Model organism or animal,4929650786,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571401,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Lo2_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:31:00Z,1,KPC-2_Lo2,biological replicate 2,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Loaded
SRR31189880,RNA-Seq,300,9416926500,PRJNA960830,SAMN44528399,Model organism or animal,3050682113,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571400,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Hi3_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-high,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:28:00Z,1,KPC-1_Hi3,biological replicate 3,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Not Loaded
SRR31189881,RNA-Seq,300,15069435300,PRJNA960830,SAMN44528398,Model organism or animal,4871687424,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571399,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Hi2_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-high,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:32:00Z,1,KPC-1_Hi2,biological replicate 2,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189882,RNA-Seq,300,6559024500,PRJNA960830,SAMN44528397,Model organism or animal,2138242290,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571398,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Hi1_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-high,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:26:00Z,1,KPC-1_Hi1,biological replicate 1,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189883,RNA-Seq,300,12252196200,PRJNA960830,SAMN44528396,Model organism or animal,3989628012,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571397,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Lo7_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:26:00Z,1,KPC-1_Lo7,biological replicate 7,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189884,RNA-Seq,300,11182466100,PRJNA960830,SAMN44528395,Model organism or animal,3626470339,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571396,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Lo6_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:29:00Z,1,KPC-1_Lo6,biological replicate 6,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189885,RNA-Seq,300,10909194600,PRJNA960830,SAMN44528394,Model organism or animal,3526224684,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571395,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Lo5_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:24:00Z,1,KPC-1_Lo5,biological replicate 5,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189886,RNA-Seq,300,10967520600,PRJNA960830,SAMN44528393,Model organism or animal,3553218206,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571394,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Lo4_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:27:00Z,1,KPC-1_Lo4,biological replicate 4,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
